Gender,HeightCm,WeightKg
Female,149,91
Male,172,89
Male,153,65
Male,141,67
Male,159,91
Female,154,54
Male,170,87
Male,158,97
Female,146,62
Male,146,62
Female,171,96
Female,179,50
Male,148,83
Female,161,64
Female,176,95
Female,141,89
Male,165,96
Female,158,92
Female,145,93
Male,143,90
Male,173,97
Male,141,92
Male,150,56
Female,176,94
Male,144,78
Female,170,74
Male,162,72
Male,155,77
Male,176,70
Male,162,86
Female,142,91
Male,155,95
Male,145,68
Female,170,74
Male,158,92
Female,173,57
Female,158,97
Male,175,59
Female,141,73
Male,142,57
Male,177,96
Male,149,67
Male,177,75
Male,172,93
Female,159,94
Female,145,50
Male,152,79
Female,153,91
Female,158,72
Male,174,87
Male,156,94
Male,173,77
Male,142,86
Male,146,96
Male,153,72
Male,174,84
Male,154,95
Male,140,67
Male,172,95
Male,167,52
Male,155,86
Male,172,51
Female,178,95
Female,156,84
Female,162,54
Male,168,72
Male,153,82
Female,146,68
Male,152,90
Female,158,94
Female,145,80
Male,154,52
Female,175,52
Male,146,53
Male,175,90
Female,143,76
Female,140,83
Female,144,85
Female,159,72
Male,178,73
Female,171,57
Female,161,53
Female,178,65
Male,146,70
Female,145,52
Female,144,68
Female,145,77
Male,176,76
Female,158,78
Male,179,81
Female,179,70
Female,146,53
Male,157,98
Male,176,57
Female,147,50
Male,155,85
Female,142,80
Female,178,71
Male,172,81
Male,151,82
Female,144,73
Male,179,62
Male,149,66
Male,160,73
Female,158,73
Male,173,71
Female,146,88
Male,169,65
Male,158,69
Male,154,88
Female,157,82
Male,174,70
Female,163,97
Female,176,51
Male,168,55
Female,168,69
Male,148,72
Female,153,73
Male,176,79
Male,156,82
Male,149,75
Male,171,81
Male,170,97
Female,165,61
Female,167,52
Male,158,75
Female,165,77
Female,142,83
Male,169,95
Female,168,62
Male,168,85
Male,166,64
Female,145,73
Female,178,86
Female,157,82
Female,144,84
Female,170,94
Male,167,53
Male,158,76
Female,154,63
Female,157,61
Male,175,81
Female,156,81
Female,179,87
Male,157,59
Male,147,59
Female,159,51
Male,169,56
Female,179,64
Male,174,73
Female,161,73
Female,147,68
Male,175,93
Male,152,84
Male,147,61
Female,171,61
Female,160,58
Female,147,52
Female,169,62
Male,170,73
Male,167,68
Female,178,84
Female,155,53
Female,168,62
Female,171,78
Female,157,88
Male,156,69
Female,146,69
Male,150,65
Female,144,87
Female,152,87
Female,156,98
Female,167,66
Female,157,78
Female,178,83
Female,166,87
Female,148,89
Female,171,73
Female,142,75
Female,179,82
Male,157,82
Male,142,62
Male,175,82
Female,166,78
Male,176,92
Female,161,61
Female,150,99
Male,142,52
Female,166,94
Female,155,81
Female,153,75
Male,173,86
Male,168,73
Female,167,93
Female,169,67
Male,171,65
Female,170,52
Male,153,78
Female,177,57
Male,151,67
Male,153,58
Male,155,76
Male,172,88
Male,171,61
Male,158,61
Male,167,77
Male,178,61
Male,143,95
Male,164,50
Female,177,54
Female,169,94
Male,179,93
Female,153,54
Female,144,73
Female,163,79
Female,156,84
Male,155,85
Female,151,63
Female,144,95
Female,169,68
Male,144,62
Female,140,55
Male,178,67
Male,154,78
Male,152,60
Male,147,97
Male,140,69
Female,156,75
Female,143,68
Male,146,68
Female,179,99
Female,143,98
Female,169,64
Male,151,92
Male,172,71
Female,144,74
Male,178,98
Female,158,88
Male,158,82
Female,164,63
Female,142,63
Female,157,63
Female,164,71
Female,175,88
Male,167,64
Male,169,67
Male,174,81
Male,153,77
Male,178,95
Male,164,80
Male,174,76
Female,168,72
Male,166,92
Male,170,84
Female,176,89
Female,168,67
Male,172,84
Male,152,87
Female,154,87
Male,144,93
Female,154,63
Female,143,85
Male,152,65
Male,151,86
Female,158,87
Female,140,78
Male,142,53
Female,159,94
Male,158,69
Female,147,79
Female,142,70
Male,148,50
Female,151,92
Male,175,80
Female,178,60
Female,179,58
Male,150,65
Male,158,83
Female,162,97
Male,147,76
Male,160,87
Male,167,53
Male,161,88
Female,156,75
Female,141,71
Female,158,88
Male,141,50
Male,148,94
Female,156,90
Male,147,95
Male,162,80
Male,147,95
Female,171,55
Male,156,75
Female,172,57
Male,143,94
Female,161,54
Male,163,96
Male,167,89
Male,166,99
Female,167,98
Female,150,92
Male,160,92
Male,160,62
Male,179,70
Male,156,74
Female,171,69
Male,168,89
Male,165,52
Female,169,55
Female,148,56
Male,145,51
Female,150,64
Female,161,70
Female,152,58
Female,141,88
Male,174,99
Female,146,92
Female,142,87
Male,145,96
Female,174,91
Female,170,89
Female,149,58
Male,154,66
Female,170,51
Female,157,74
Female,155,86
Female,167,88
Male,144,88
Male,156,81
Female,179,54
Male,164,54
Male,140,54
Male,171,62
Female,179,52
Female,179,58
Male,168,69
Female,166,62
Female,178,73
Male,156,59
Female,149,70
Male,175,94
Female,178,66
Male,178,96
Female,176,97
Male,169,82
Male,154,83
Male,160,62
Female,174,68
Male,161,98
Female,160,64
Male,150,81
Female,170,77
Female,166,95
Female,172,87
Male,149,75
Male,148,88
Female,164,67
Female,175,61
Female,168,87
Female,147,81
Female,164,64
Female,168,93
Female,144,88
Female,177,55
Male,147,71
Female,176,65
Female,164,77
Male,148,92
Female,144,74
Female,154,76
Male,146,51
Female,142,97
Female,161,84
Female,168,70
Female,153,67
Male,170,80
Male,156,77
Female,174,73
Female,155,63
Male,147,91
Female,157,52
Female,146,60
Female,158,73
Male,160,98
Male,152,61
Female,153,67
Female,151,87
Female,159,55
Male,165,89
Male,171,53
Male,165,91
Male,174,65
Male,146,60
Male,153,92
Female,147,57
Female,156,76
Female,154,84
Male,173,65
Male,164,98
Female,141,70
Male,150,95
Male,177,79
Male,148,85
Female,160,89
Female,173,62
Male,174,67
Female,170,50
Male,176,77
Female,156,52
Female,163,59
Male,160,83
Male,166,76
Male,166,52
Male,174,64
Male,162,64
Female,160,65
Male,179,88
Male,141,93
Female,173,95
Male,172,60
Female,172,83
Female,164,85
Male,160,83
Female,176,56
Male,158,82
Female,166,77
Male,171,96
Male,175,68
Male,166,93
Male,173,93
Female,166,97
Male,157,99
Female,179,82
Male,145,86
Male,152,56
Female,147,75
Female,155,86
Female,145,62
Female,176,60
Female,163,97
Female,153,60
Female,174,66
Female,163,81
Male,177,93
Male,149,76
Female,144,62
Male,173,50
Female,159,67
Male,162,61
Male,160,92
Female,144,82
Male,142,71
Male,149,60
Female,176,57
Male,171,69
Female,167,71
Female,179,84
Female,153,61
Male,165,56
Female,173,95
Female,143,57
Female,141,53
Female,143,51
Female,141,55
Male,176,80
Female,170,98
Male,177,98
Female,159,96
Female,153,78
Male,156,76
Male,168,50
Female,178,57
Male,168,66
Male,162,95
Female,144,97
Male,159,80
Female,144,95
Male,158,78
Male,154,57
Male,179,86
Female,177,91
Male,140,83
Female,178,98
Female,153,53
Male,142,88
Female,168,56
Male,170,81
Female,164,52
Male,161,59
Male,158,68
Male,152,97
Male,145,98
Female,172,78
Female,145,55
Female,165,79
Female,145,80
Female,146,95
Female,159,58
Male,179,80
Male,167,80
Male,159,51
Male,151,82
Male,172,53
Female,174,71
Male,162,74
Female,176,96
Male,142,78
Male,143,70
Female,163,71
Male,176,72
Female,174,53
Male,153,50
Female,171,68
Male,179,52
Female,153,55
Female,177,97
Female,150,93
Female,146,74
Male,163,54
Female,160,60
Female,174,68
Male,147,96
Male,149,83
Male,161,92
Female,142,87
Male,143,85
Female,164,66
Female,155,86
Male,152,78
Female,148,56
Female,160,76
Female,158,95
Male,161,54
Male,173,86
Male,173,71
Male,162,92
Male,141,84
Male,174,88
Female,158,52
Female,158,78
Male,172,86
Female,165,75
Male,154,77
Female,155,81
Female,149,75
Female,150,64
Female,154,91
Male,142,77
Male,148,58
Male,143,91
Male,150,72
Female,156,74
Male,170,58
Male,141,80
Male,161,81
Male,151,68
Male,160,96
Female,177,99
Male,163,57
Female,178,85
Male,142,55
Female,172,52
Male,166,97
Female,145,80
Female,174,54
Female,157,90
Female,178,68
Male,165,59
Female,144,99
Male,159,65
Female,175,94
Male,169,89
Male,143,92
Male,144,99
Female,157,54
Male,164,84
Female,142,58
Male,168,65
Female,167,70
Female,142,91
Male,142,54
Male,140,87
Female,144,62
Male,145,66
Male,167,64
Male,155,56
Female,141,88
Male,163,78
Female,169,65
Female,172,83
Male,151,94
Female,145,63
Female,149,87
Male,175,82
Male,176,63
Female,176,70
Male,173,66
Male,162,83
Male,142,60
Male,171,69
Male,167,94
Male,170,67
Male,168,63
Female,176,59
Female,165,56
Female,168,89
Female,169,51
Male,175,51
Female,140,55
Male,141,76
Female,168,59
Male,147,61
Female,143,70
Female,170,73
Female,157,53
Female,145,65
Male,167,74
Female,155,82
Male,150,77
Female,142,81
Male,176,57
Female,163,72
Male,156,71
Male,164,83
Male,162,62
Male,158,67
Male,145,80
Female,160,65
Female,149,92
Male,172,50
Male,158,70
Male,174,66
Male,152,96
Male,145,63
Male,157,67
Male,156,52
Female,178,65
Male,174,84
Male,166,80
Male,163,87
Male,170,93
Female,147,76
Female,164,79
Male,141,85
Male,175,53
Female,161,85
Female,166,71
Male,157,76
Male,149,91
Male,141,63
Female,172,90
Female,174,66
Male,168,77
Male,152,67
Female,144,68
Male,157,58
Male,162,69
Male,166,81
Male,149,55
Female,144,55
Male,144,74
Female,165,78
Male,179,68
Male,164,77
Female,179,96
Male,145,91
Male,164,53
Female,152,80
Female,173,60
Male,179,97
Female,174,79
Male,155,92
Female,158,99
Female,147,81
Male,168,83
Male,148,57
Male,167,88
Female,166,60
Male,141,56
Male,166,64
Female,170,61
Female,160,85
Male,173,82
Female,157,89
Male,162,54
Male,174,59
Female,171,52
Male,179,93
Female,175,65
Male,141,54
Female,145,98
Male,164,79
Male,146,71
Female,154,92
Female,147,90
Male,142,83
Male,179,61
Male,149,90
Female,161,80
Male,176,76
Female,155,93
Male,157,54
Female,152,69
Male,163,61
Male,166,83
Female,163,81
Female,149,72
Female,165,70
Male,171,56
Male,159,59
Male,175,82
Female,179,73
Male,176,60
Female,155,99
Male,160,87
Male,152,55
Female,142,89
Female,148,72
Female,143,61
Male,146,92
Female,169,59
Male,165,63
Female,170,60
Female,164,75
Female,154,94
Male,156,74
Male,177,70
Female,148,84
Male,153,89
Female,163,62
Female,164,52
Female,154,80
Female,177,74
Male,148,94
Male,166,55
Male,174,78
Male,174,57
Female,172,62
Male,157,55
Male,152,64
Female,150,61
Female,171,81
Female,145,60
Male,161,57
Female,171,70
Female,148,87
Male,178,83
Male,166,91
Male,165,58
Male,148,67
Male,148,82
Male,178,79
Male,175,88
Female,154,74
Male,166,51
Male,172,89
Male,162,67
Male,171,73
Female,164,59
Female,169,76
Male,178,62
Female,173,94
Male,175,85
Female,153,62
Male,163,72
Male,174,69
Male,179,99
Male,174,74
Female,175,64
Male,171,92
Female,158,59
Male,160,73
Male,154,51
Male,170,98
Female,153,60
Male,179,69
Male,170,66
Female,178,59
Male,169,56
Female,171,62
Male,153,53
Male,145,74
Female,147,89
Female,150,97
Male,162,55
Female,178,94
Male,159,94
Male,169,95
Female,140,70
Female,148,86
Female,162,85
Female,155,52
Male,154,66
Male,140,65
Female,152,94
Male,148,75
Female,177,51
Female,162,75
Female,158,96
Female,170,51
Male,159,59
Female,140,94
Female,152,70
Female,161,86
Male,142,75
Female,162,90
Male,176,84
Male,168,55
Female,141,82
Male,164,84
Female,159,98
Female,154,64
Male,177,78
Male,154,95
Male,150,64
Female,179,68
Male,173,73
Female,151,58
Female,141,96
Female,160,68
Male,151,65
Male,152,66
Female,151,75
Male,178,62
Male,153,70
Female,174,55
Male,154,87
Female,144,51
Female,145,77
Female,160,72
Male,165,90
Female,167,58
Male,163,73
Male,170,61
Male,151,65
Male,175,79
Male,162,88
Male,140,76
Male,155,94
Male,153,90
Female,168,99
Male,151,53
Female,166,81
Female,143,78
Female,147,80
Male,150,67
Female,153,71
Female,176,82
Male,162,74
Male,159,93
Female,148,86
Female,146,65
Female,146,91
Female,154,91
Female,142,68
Female,167,94
Female,154,83
Female,154,52
Female,146,51
Male,167,87
Male,150,83
Male,142,50
Female,164,79
Female,149,62
Male,152,87
Female,172,90
Female,174,56
Female,152,85
Male,148,90
Male,168,79
Female,157,98
Male,152,66
Male,170,54
Male,145,96
Male,179,53
Male,159,81
Female,176,56
Female,170,97
Male,142,77
Female,146,65
Female,167,67
Male,169,50
Male,153,88
Male,150,59
Male,161,62
Male,157,95
Male,146,58
Male,165,57
Male,172,54
Male,145,86
Male,152,50
Female,170,87
Female,153,50
Male,147,73
Male,161,86
Male,176,76
Male,170,74
Female,162,94
Male,179,57
Male,148,58
Female,142,84
Male,151,93
Male,169,56
Female,171,62
Female,145,65
Female,177,88
Female,162,58
Male,164,56
Male,178,60
Male,156,68
Male,160,85
Male,162,59
Female,163,77
Female,149,92
Female,141,97
Male,143,74
Male,140,55
Female,159,52
Female,174,57
Female,173,96
Female,164,64
Female,177,82
Male,171,80
Female,171,91
Female,165,64
Male,142,98
Female,142,72
Male,169,91
Male,143,97
Female,143,83
Female,158,64
Female,159,56
Female,177,70
Female,170,94
Male,140,67
Male,156,53
Male,177,76
Male,153,81
Female,144,72
Female,160,60
Male,141,66
Male,178,69
Female,173,79
Male,159,81
Male,147,65
Male,179,79
Female,154,52
Male,155,84
Female,163,96
Male,162,74
Male,166,56
Male,174,65
Female,172,94
Male,142,75
Male,171,65
Male,147,84
Male,147,75
Male,155,99
Female,173,70
Male,171,76
Female,156,63
Female,155,56
Female,145,71
Female,166,87
Female,141,84
Female,176,90
Male,146,77
Male,174,62
Male,172,82
Male,176,69
Male,169,57
Male,160,66
Female,167,75
Female,141,95
Male,172,69
Female,158,70
Male,141,85
Female,171,75
Male,158,64
Female,160,57
Male,153,90
Male,140,86
Male,154,73
Female,166,98
Female,154,61
Male,175,96
Female,174,98
Female,167,89
Female,154,55
Male,161,94
Male,147,94
Female,162,76
Female,141,99
Female,148,62
Male,170,79
Female,148,62
Male,147,70
Male,168,79
Male,163,79
Female,165,99
Male,144,95
Male,152,59
Male,166,66
Female,163,90
Female,155,65
Male,168,61
Male,159,61
Female,162,93
Male,158,62
Male,145,78
Female,151,94
Male,140,64
Female,140,90
Female,142,89
Male,165,96
Female,155,52
Male,149,83
Male,167,86
Female,163,90
Male,141,79
Male,159,93
Female,172,87
Male,147,51
Male,178,77
Female,174,74
Male,140,93
Female,167,77
Male,174,68
Male,161,72
Female,168,61
Male,164,93
Female,168,91
Female,155,62
Male,175,55
Male,141,57
Male,167,83
Male,168,74
Male,161,53
Female,144,70
Female,162,62
Female,174,92
Male,158,67
Male,171,65
Female,153,80
Female,164,50
Male,144,81
Female,178,96
Male,174,66
Female,140,80
Male,155,88
Male,162,63
Female,177,79
Female,160,88
Female,149,88
Male,143,58
Male,153,80
Female,156,70
Male,144,55
Female,147,89
Female,158,99
Female,177,62
Male,169,80
Male,167,60
Female,142,90
Female,146,72
Female,170,75
Female,170,60
Female,143,66
Male,161,68
Female,151,82
Female,160,94
Female,145,91
Male,175,56
Male,174,84
Female,170,61
Female,150,88
Female,141,63
Male,179,50
Female,158,86
Male,149,53
Female,143,75
Male,177,89
Female,157,69
Female,152,59
Male,169,78
Male,149,72
Female,168,91
Male,157,88
Female,166,87
Male,178,92
Female,143,62
Female,158,69
Female,171,67
Male,173,82
Male,169,85
Male,149,91
Female,169,71
Female,170,97
Female,166,69
Female,162,75
Male,164,91
Male,162,63
Female,173,51
Female,159,78
Female,148,56
Male,178,61
Female,160,80
Female,168,67
Male,144,69
Female,143,56
Male,177,57
Female,156,76
Male,147,61
Female,162,85
Male,164,84
Female,179,76
Female,162,74
Female,154,60
Female,172,95
Male,151,62
Male,177,56
Female,155,62
Female,154,97
Male,149,66
Female,162,54
Female,156,57
Female,166,71
Male,140,64
Male,173,73
Male,163,71
Male,168,69
Female,144,65
Male,161,58
Male,166,70
Male,145,69
Female,154,75
Female,171,81
Female,145,63
Male,161,83
Male,146,51
Male,167,77
Female,145,88
Female,157,60
Female,178,51
Male,162,50
Male,149,80
Female,154,78
Female,159,64
Female,156,97
Male,164,58
Female,141,67
Female,166,55
Male,156,59
Female,164,95
Female,168,71
Male,167,54
Male,142,82
Female,179,62
Female,167,73
Female,155,69
Female,151,86
Male,175,82
Female,174,72
Male,159,89
Male,174,73
Female,152,69
Female,167,66
Female,170,74
Male,164,71
Male,151,88
Male,173,50
Male,168,92
Female,143,70
Male,171,54
Male,170,59
Male,171,68
Male,167,51
Male,176,90
Female,177,95
Male,166,57
Male,140,53
Male,148,77
Female,169,67
Male,164,73
Male,141,98
Male,158,87
Male,178,55
Female,170,59
Female,147,74
Male,151,88
Female,165,56
Male,172,51
Female,142,50
Female,175,70
Male,152,57
Male,150,76
Female,160,80
Female,143,75
Male,148,89
Female,164,97
Female,155,93
Male,142,57
Male,162,82
Male,152,89
Female,142,80
Male,169,98
Male,154,73
Male,169,80
Male,141,85
Male,158,55
Female,159,79
Female,143,58
Male,170,53
Male,167,74
Male,144,83
Male,163,80
Female,168,89
Female,159,67
Male,141,87
Male,145,60
Male,178,76
Female,171,81
Female,176,88
Male,143,80
Male,164,96
Male,157,99
Male,166,81
Male,148,73
Female,143,74
Female,147,96
Female,175,55
Female,172,73
Female,153,50
Female,169,50
Male,151,55
Female,150,89
Female,160,64
Male,173,83
Female,176,53
Female,152,93
Male,140,70
Female,166,55
Male,149,97
Male,179,72
Male,170,82
Male,155,73
Female,159,97
Female,179,74
Male,162,99
Female,177,62
Female,147,52
Female,179,61
Female,164,75
Female,151,76
Male,177,64
Female,162,89
Male,148,99
Female,165,91
Male,156,84
Female,158,85
Female,155,91
Female,155,89
Male,146,57
Female,175,87
Female,147,76
Male,175,61
Male,177,57
Male,144,70
Male,170,72
Male,159,99
Male,148,75
Female,164,61
Male,140,96
Male,152,72
Male,157,91
Female,178,86
Female,140,92
Male,143,85
Male,179,56
Female,170,71
Male,172,59
Female,142,74
Male,147,86
Male,159,65
Male,176,75
Female,150,94
Male,165,94
Female,155,64
Male,150,57
Male,146,80
Male,178,99
Female,167,74
Male,168,52
Male,154,90
Male,144,57
Male,143,75
Female,166,99
Male,176,83
Female,170,59
Female,166,93
Male,156,86
Male,179,97
Female,163,78
Female,153,98
Female,150,78
Male,176,82
Male,155,57
Male,175,71
Male,173,79
Male,159,58
Female,161,75
Male,164,73
Female,175,79
Male,149,68
Male,141,94
Female,146,75
Female,151,97
Male,173,58
Male,175,75
Male,162,94
Female,159,89
Female,168,68
Female,165,61
Male,164,86
Male,178,95
Male,154,50
Female,147,89
Male,174,61
Male,161,59
Female,148,91
Female,177,78
Female,159,80
Male,163,63
Female,174,61
Male,171,97
Male,168,83
Male,171,65
Male,173,67
Female,144,99
Female,147,81
Female,172,80
Female,177,85
Female,177,54
Male,170,95
Male,157,75
Female,167,63
Male,147,68
Female,148,56
Male,141,60
Male,171,86
Female,168,75
Female,166,94
Male,162,86
Male,163,74
Female,176,87
Female,167,52
Female,174,68
Male,148,70
Male,149,60
Male,146,82
Female,159,95
Female,173,74
Male,164,94
Female,142,73
Female,146,86
Female,179,81
Male,170,67
Male,176,65
Male,162,57
Female,153,57
Male,159,96
Female,164,66
Female,150,82
Male,169,85
Male,150,65
Male,156,74
Male,179,73
Female,168,89
Male,166,94
Female,155,77
Female,168,87
Male,165,97
Male,148,74
Female,146,72
Male,151,50
Male,144,90
Male,170,66
Female,169,89
Female,164,52
Female,169,79
Female,167,59
Male,163,51
Male,173,83
Male,142,65
Female,175,70
Female,159,96
Female,159,97
Male,157,62
Male,171,85
Female,179,61
Female,149,69
Male,163,55
Female,172,67
Female,158,87
Female,143,76
Female,155,71
Male,177,63
Female,141,52
Male,168,91
Male,168,97
Female,144,54
Male,172,92
Female,171,89
Female,148,81
Female,153,59
Female,164,87
Male,154,79
Female,170,81
Male,171,74
Female,172,77
Male,151,84
Male,142,62
Male,164,68
Female,155,70
Female,148,96
Male,166,98
Female,158,80
Female,150,79
Male,179,66
Female,159,80
Female,165,91
Female,175,53
Female,152,59
Male,144,65
Male,167,86
Male,179,92
Male,176,97
Female,141,92
Male,157,63
Female,162,92
Female,156,75
Female,170,62
Male,171,67
Female,161,56
Male,144,57
Male,164,89
Male,141,92
Male,166,67
Male,151,75
Male,161,77
Female,169,94
Male,159,96
Female,161,57
Male,156,91
Female,144,70
Female,176,76
Male,140,80
Female,177,91
Female,150,66
Male,144,60
Male,172,53
Male,148,74
Male,148,67
Male,151,91
Female,159,86
Female,149,78
Male,155,65
Female,155,79
Male,166,69
Female,158,87
Male,168,59
Female,143,61
Female,165,79
Female,157,84
Male,156,86
Male,146,57
Female,149,61
Male,141,90
Female,145,85
Male,163,61
Male,149,99
Male,174,90
Male,173,89
Female,177,58
Female,172,86
Male,146,80
Female,153,91
Male,169,66
Female,174,52
Female,154,90
Female,161,55
Male,171,93
Male,168,64
Male,148,99
Male,144,65
Female,161,56
Female,161,52
Female,146,71
Male,154,73
Female,160,68
Female,141,97
Male,179,79
Male,175,75
Male,156,68
Female,160,71
Female,153,90
Male,145,86
Male,164,60
Female,144,51
Male,164,78
Male,159,63
Male,154,91
Male,146,94
Male,173,71
Female,160,91
Male,158,52
Male,176,60
Female,177,51
Female,169,92
Female,143,72
Male,141,81
Male,163,87
Male,157,87
Male,141,95
Male,174,80
Male,165,68
Female,165,53
Male,164,67
Male,173,84
Male,173,54
Male,143,97
Female,153,58
Female,172,74
Female,177,72
Female,154,87
Male,143,62
Female,169,91
Male,157,82
Female,175,95
Male,141,57
Female,166,56
Female,164,94
Male,143,50
Male,174,85
Female,162,76
Male,141,78
Female,179,99
Female,170,89
Male,178,59
Male,149,69
Male,154,78
Female,147,59
Male,154,86
Male,163,97
Female,140,79
Female,163,78
Female,154,88
Male,142,78
Female,162,63
Female,160,80
Female,154,62
Male,177,87
Female,147,96
Female,141,79
Male,158,76
Female,150,84
Female,140,76
Female,173,93
Male,174,52
Female,179,90
Female,178,64
Male,177,53
Female,156,65
Female,167,87
Female,176,80
Female,161,87
Female,153,56
Male,169,79
Female,146,62
Male,148,81
Female,165,93
Male,177,92
Female,177,50
Female,167,96
Female,172,57
Male,157,98
Female,167,70
Male,159,74
Female,167,62
Female,163,87
Male,169,52
Female,147,75
Female,146,56
Female,179,82
Female,145,66
Male,160,64
Male,149,61
Male,153,63
Male,150,81
Male,144,53
Female,164,92
Male,158,79
Male,172,73
Female,173,74
Female,158,91
Female,167,78
Male,160,91
Female,170,52
Female,144,87
Female,156,67
Female,143,93
Female,150,95
Female,149,60
Female,141,98
Female,176,63
Male,170,73
Male,157,73
Male,157,70
Male,151,86
Male,145,61
Male,142,79
Female,162,53
Female,148,66
Female,145,81
Female,144,69
Female,144,56
Male,161,57
Female,168,91
Female,173,75
Female,178,57
Male,154,79
Female,150,68
Male,144,54
Male,178,94
Female,151,94
Female,144,71
Female,171,73
Male,159,52
Male,156,56
Female,171,81
Male,149,89
Male,163,92
Male,158,78
Female,166,75
Male,151,89
Male,144,59
Male,158,58
Female,174,78
Male,149,74
Female,150,61
Male,143,85
Female,173,65
Male,163,60
Male,178,95
Female,146,84
Male,175,73
Male,155,65
Male,168,53
Male,144,61
Male,158,85
Female,174,90
Female,140,54
Male,159,96
Male,165,58
Female,142,73
Female,179,74
Female,143,50
Male,150,56
Male,159,60
Female,174,87
Female,154,97
Male,172,84
Male,152,78
Female,168,91
Female,178,67
Female,172,88
Female,162,72
Female,158,64
Male,163,64
Female,142,79
Female,174,72
Male,164,80
Female,175,73
Male,173,89
Male,168,90
Male,173,78
Female,144,83
Male,146,66
Male,143,81
Male,170,72
Female,165,75
Female,147,83
Female,147,69
Female,165,65
Female,150,50
Male,177,61
Female,175,89
Male,155,71
Female,175,77
Female,141,69
Male,147,55
Male,146,81
Female,146,61
Male,176,55
Female,166,58
Female,142,62
Female,177,75
Male,149,73
Male,154,85
Male,170,82
Female,155,90
Female,175,91
Male,146,83
Female,172,95
Female,170,86
Male,175,62
Female,152,66
Female,175,90
Female,164,55
Male,167,61
Female,153,58
Male,172,58
Male,176,80
Female,157,58
Male,154,50
Female,151,55
Female,161,93
Male,177,59
Male,163,75
Male,161,75
Male,146,58
Male,146,73
Male,171,92
Male,157,53
Male,143,77
Female,141,85
Female,152,69
Male,140,81
Female,169,88
Male,164,53
Male,160,68
Male,171,95
Male,172,62
Female,168,80
Female,178,53
Female,161,60
Male,159,81
Male,158,51
Male,177,55
Male,166,98
Male,142,59
Female,173,63
Male,147,68
Male,155,79
Female,155,78
Male,162,94
Female,178,78
Female,177,93
Male,142,87
Female,156,75
Male,147,74
Female,150,77
Female,172,67
Male,164,66
Female,147,84
Female,159,85
Male,173,80
Male,149,71
Female,173,62
Female,158,96
Female,174,91
Male,157,80
Male,174,56
Female,145,98
Female,161,89
Female,149,87
Female,146,92
Male,168,70
Female,157,69
Female,153,96
Male,154,58
Female,175,67
Female,178,87
Female,152,88
Male,179,92
Female,149,66
Female,161,86
Male,141,98
Female,144,89
Male,177,96
Female,174,88
Male,148,63
Female,170,75
Female,162,72
Female,156,82
Female,160,80
Female,173,68
Male,178,94
Female,167,71
Male,155,53
Male,179,66
Female,152,65
Male,169,50
Male,161,96
Male,169,81
Male,160,72
Female,164,71
Female,179,84
Female,165,62
Male,159,57
Male,149,88
Female,163,78
Female,153,95
Female,150,76
Male,173,88
Female,163,53
Female,167,96
Male,164,65
Female,176,83
Female,157,67
Male,165,54
Female,171,92
Male,152,59
Female,170,97
Male,173,61
Female,174,51
Male,140,59
Female,147,57
Female,141,80
Male,146,84
Female,161,80
Female,156,67
Female,147,94
Female,179,70
Male,166,51
Male,162,73
Male,158,66
Male,151,92
Female,164,86
Female,170,60
Female,172,89
Male,167,71
Female,152,98
Male,162,72
Female,175,86
Female,147,71
Male,160,65
Female,158,67
Female,175,97
Male,142,53
Female,161,65
Male,166,97
Female,174,70
Male,145,59
Female,141,90
Female,171,54
Male,162,57
Male,141,95
Female,159,99
Female,169,73
Female,152,55
Male,179,74
Male,142,99
Male,163,73
Male,148,75
Female,160,65
Female,155,77
Male,156,75
Male,165,65
Male,176,82
Female,144,89
Female,177,52
Female,173,84
Female,149,76
Female,167,65
Male,149,80
Male,142,87
Female,156,59
Female,158,61
Male,170,69
Male,169,71
Female,141,70
Female,161,82
Male,169,55
Female,175,54
Female,174,67
Female,142,76
Male,140,90
Female,145,92
Female,153,79
Female,142,68
Male,178,59
Female,144,73
Female,167,62
Male,173,89
Male,174,50
Male,142,64
Male,160,58
Male,174,94
Female,143,67
Female,145,78
Female,162,97
Female,150,86
Female,140,64
Female,164,70
Male,141,95
Female,141,62
Female,176,90
Male,165,82
Female,160,63
Male,144,96
Female,140,79
Female,155,86
Male,179,68
Male,147,85
Male,151,55
Female,167,63
Female,155,59
Male,148,75
Male,151,93
Male,169,50
Female,175,84
Female,151,58
Female,162,94
Male,152,60
Male,152,56
Female,178,95
Male,150,75
Male,175,89
Male,151,66
Male,140,59
Female,177,97
Male,167,63
Male,141,91
Female,150,59
Male,154,86
Male,167,91
Male,144,53
Male,148,60
Male,160,59
Female,172,65
Male,158,61
Male,159,97
Female,174,57
Male,164,59
Male,167,83
Female,172,85
Female,142,83
Female,173,97
Male,159,83
Male,146,77
Female,141,89
Male,141,81
Female,148,70
Male,171,87
Female,143,67
Male,175,61
Male,140,61
Male,151,50
Female,170,95
Female,173,74
Male,155,63
Male,148,91
Male,175,93
Female,170,86
Female,154,66
Female,159,94
Female,145,96
Female,142,98
Male,143,60
Female,157,62
Female,156,84
Male,172,78
Male,169,81
Male,178,90
Male,140,59
Male,159,68
Female,173,74
Female,150,63
Female,165,89
Female,173,98
Female,142,61
Female,155,90
Male,179,82
Male,161,99
Female,169,77
Male,169,87
Female,179,58
Male,172,99
Female,144,79
Female,171,79
Female,151,93
Female,154,93
Male,170,80
Male,145,83
Male,153,50
